######################################################################
#
# XLX live YSF Master Reflector host file.
#
# This host file is auto-generated by the
# XLX self-registration mechanism.
#
######################################################################
#
# If you find a mismatched entry please sent a mail to: dvc@rlx.lu
# Last update: 21.11.2019
#
###################################################################### 
#
# XLX-YSF Reflectors
#
XLX007	80.69.86.234
XLX010	85.197.129.86
XLX016	150.66.42.17
XLX018	80.211.236.189
XLX020	66.175.215.217
XLX022	83.137.45.98
XLX023	77.85.192.94
XLX032	158.64.26.140
XLX033	46.226.178.81
XLX039	31.14.142.119
XLX051	93.186.254.219
XLX052	121.114.141.67
XLX058	150.66.16.176
XLX076	203.137.116.117
XLX077	216.21.9.156
XLX080	121.85.31.152
XLX081	121.84.20.30
XLX095	203.137.76.53
XLX098	122.130.93.184
XLX109	118.27.10.67
XLX110	150.7.164.10
XLX111	61.195.96.160
XLX112	94.177.235.81
XLX113	185.203.118.135
XLX114	5.135.188.16
XLX124	211.14.169.234
XLX129	219.116.62.142
XLX132	91.203.55.87
XLX150	80.211.10.212
XLX151	94.254.105.236
XLX160	61.195.109.179
XLX175	162.248.92.25
XLX183	79.18.84.154
XLX185	89.106.108.151
XLX201	157.245.45.67
XLX213	190.213.203.148
XLX214	185.47.129.230
XLX216	74.214.25.135
XLX220	124.41.83.11
XLX224	203.137.99.97
XLX225	61.195.108.252
XLX226	2.226.183.226
XLX228	92.104.114.199
XLX234	160.16.58.180
XLX260	80.211.208.227
XLX268	194.38.140.204
XLX270	158.64.26.132
XLX290	44.182.7.20
XLX291	101.143.242.189
XLX298	61.193.81.1
XLX305	178.250.54.203
XLX311	46.41.0.214
XLX312	192.241.160.183
XLX315	65.101.7.50
XLX326	61.195.125.193
XLX328	212.237.33.114
XLX353	44.155.254.12
XLX355	210.153.207.73
XLX360	150.66.52.109
XLX365	59.139.141.204
XLX369	3.82.236.213
XLX371	212.237.8.77
XLX374	61.195.108.146
XLX388	3.231.112.133
XLX389	122.109.173.114
XLX412	61.195.107.113
XLX431	61.195.98.225
XLX435	128.22.130.154
XLX438	98.101.226.22
XLX440	124.97.126.104
XLX441	203.137.99.110
XLX449	159.89.183.117
XLX454	119.237.13.95
XLX464	52.192.129.174
XLX468	3.86.166.63
XLX470	104.49.29.243
XLX477	81.105.24.211
XLX499	203.137.76.22
XLX502	190.148.222.28
XLX505	45.248.50.37
XLX515	203.137.78.35
XLX525	80.211.68.38
XLX526	47.157.208.5
XLX530	124.197.62.162
XLX531	149.28.170.145
XLX538	131.129.243.235
XLX544	202.218.152.66
XLX560	150.66.42.72
XLX583	183.76.228.64
XLX589	40.71.209.127
XLX599	150.66.25.83
XLX602	212.56.100.200
XLX604	139.162.241.24
XLX610	89.186.80.81
XLX626	133.130.59.3
XLX630	61.195.125.81
XLX634	60.37.146.12
XLX660	150.31.23.160
XLX673	180.147.243.178
XLX687	47.186.76.22
XLX698	203.137.123.89
XLX699	82.102.5.239
XLX701	61.195.107.77
XLX703	61.195.98.254
XLX704	150.66.34.110
XLX705	203.183.8.203
XLX706	93.186.255.126
XLX707	90.145.156.196
XLX708	150.66.20.222
XLX713	218.251.63.99
XLX717	44.137.70.100
XLX723	62.38.192.143
XLX737	195.130.75.246
XLX738	153.126.192.148
XLX741	203.137.78.41
XLX765	153.126.212.136
XLX770	153.126.173.9
XLX776	118.27.16.168
XLX777	194.182.66.76
XLX778	77.237.7.125
XLX781	101.143.242.199
XLX794	101.143.242.95
XLX812	203.145.233.141
XLX821	67.205.183.69
XLX822	103.76.180.131
XLX823	108.9.180.5
XLX844	137.226.79.122
XLX878	203.137.123.113
XLX883	125.207.226.230
XLX893	103.235.125.180
XLX904	211.14.169.215
XLX905	94.199.173.123
XLX906	212.237.11.53
XLX909	216.86.147.198
XLX922	81.150.10.62
XLX933	164.132.104.167
XLX940	202.218.37.121
XLX944	202.218.34.210
XLX945	213.202.229.40
XLX950	158.64.26.134
XLX959	203.137.98.121
XLX973	211.14.169.43
XLX989	74.195.103.224
#
# End of file.
